word, event, baseline, diff
friends,0.0685,0.0281,0.0404
among,0.0685,0.0554,0.0131
days,0.0685,0.0510,0.0175
picture,0.0685,0.0183,0.0501
much,0.0678,0.1236,-0.0558
secretary,0.0678,0.0258,0.0420
away,0.0678,0.0560,0.0117
acted,0.0671,0.0030,0.0641
within,0.0671,0.0516,0.0155
street,0.0671,0.0274,0.0397
families,0.0664,0.0315,0.0349
islamist,0.0664,0.0001,0.0663
everyone,0.0664,0.0147,0.0518
got,0.0657,0.0563,0.0095
major,0.0651,0.0457,0.0194
democracy,0.0651,0.0149,0.0502
someone,0.0651,0.0118,0.0532
act,0.0644,0.0633,0.0011
face,0.0644,0.0534,0.0109
scotland,0.0644,0.0014,0.0630
close,0.0644,0.0289,0.0355
threat,0.0644,0.0149,0.0495
towards,0.0637,0.0076,0.0560
claimed,0.0637,0.0040,0.0597
go,0.0637,0.0887,-0.0250
mi5,0.0637,0.0000,0.0637
stand,0.0637,0.0285,0.0352
capital,0.0637,0.0175,0.0462
ap,0.0630,0.0016,0.0614
lives,0.0630,0.0267,0.0363
really,0.0630,0.0346,0.0284
ambulance,0.0623,0.0007,0.0616
every,0.0623,0.1206,-0.0583
times,0.0623,0.0423,0.0200
hours,0.0616,0.0223,0.0393
drove,0.0616,0.0066,0.0550
identified,0.0616,0.0052,0.0564
ran,0.0616,0.0149,0.0468
six,0.0616,0.0264,0.0352
carried,0.0616,0.0157,0.0459
take,0.0609,0.0912,-0.0303
ago,0.0609,0.0477,0.0133
saying,0.0603,0.0141,0.0461
prison,0.0603,0.0063,0.0540
parliamentary,0.0603,0.0010,0.0592
wife,0.0596,0.0252,0.0343
continue,0.0589,0.0463,0.0126
past,0.0589,0.0554,0.0035
cochran,0.0589,0.0001,0.0588
report,0.0589,0.0288,0.0301
deputy,0.0589,0.0019,0.0570
kurt,0.0582,0.0002,0.0580
khan,0.0582,0.0003,0.0579
violent,0.0582,0.0064,0.0518
hit,0.0582,0.0131,0.0451
image,0.0575,0.0134,0.0441
found,0.0575,0.0637,-0.0062
address,0.0568,0.0190,0.0379
arrests,0.0568,0.0003,0.0565
evidence,0.0568,0.0250,0.0318
extremism,0.0562,0.0003,0.0558
reported,0.0555,0.0140,0.0414
lived,0.0555,0.0141,0.0413
thoughts,0.0555,0.0059,0.0496
international,0.0555,0.0357,0.0197
custody,0.0555,0.0005,0.0549
bravery,0.0548,0.0015,0.0533
river,0.0548,0.0193,0.0355
call,0.0548,0.0283,0.0265
frade,0.0548,0.0000,0.0548
mother,0.0548,0.0247,0.0301
week,0.0548,0.0331,0.0217
women,0.0548,0.0356,0.0192
possible,0.0541,0.0553,-0.0012
always,0.0541,0.0633,-0.0092
community,0.0541,0.0443,0.0098
use,0.0541,0.0867,-0.0326
member,0.0541,0.0179,0.0362
high,0.0534,0.0775,-0.0241
mayor,0.0534,0.0048,0.0486
months,0.0534,0.0333,0.0201
central,0.0534,0.0216,0.0318
event,0.0534,0.0096,0.0438
lost,0.0534,0.0233,0.0302
national,0.0534,0.0919,-0.0385
acting,0.0534,0.0079,0.0456
court,0.0534,0.0265,0.0269
assailant,0.0534,0.0003,0.0531
side,0.0527,0.0456,0.0072
asked,0.0527,0.0474,0.0054
put,0.0527,0.0611,-0.0083
held,0.0527,0.0330,0.0197
ellwood,0.0527,0.0001,0.0526
french,0.0527,0.0148,0.0380
paid,0.0527,0.0191,0.0337
40,0.0527,0.0094,0.0433
head,0.0527,0.0477,0.0051
love,0.0520,0.0283,0.0238
suspicion,0.0520,0.0035,0.0486
england,0.0520,0.0162,0.0358
details,0.0520,0.0066,0.0454
safety,0.0520,0.0127,0.0394
speaking,0.0520,0.0074,0.0446
gates,0.0520,0.0024,0.0496
press,0.0520,0.0166,0.0355
seven,0.0514,0.0148,0.0366
authorities,0.0514,0.0063,0.0451
suspect,0.0514,0.0034,0.0480
normal,0.0514,0.0156,0.0357
minutes,0.0514,0.0207,0.0306
however,0.0514,0.0676,-0.0162
read,0.0507,0.0211,0.0296
remains,0.0507,0.0140,0.0366
trump,0.0507,0.0002,0.0505
elms,0.0500,0.0001,0.0499
investigated,0.0500,0.0020,0.0480
2015,0.0500,0.0000,0.0500
husband,0.0500,0.0145,0.0355
facebook,0.0500,0.0000,0.0500
thought,0.0500,0.0573,-0.0073
afternoon,0.0493,0.0116,0.0377
gave,0.0493,0.0325,0.0168
senior,0.0493,0.0054,0.0439
let,0.0486,0.0895,-0.0408
safe,0.0486,0.0116,0.0370
making,0.0486,0.0417,0.0069
foreign,0.0486,0.0357,0.0129
hate,0.0486,0.0064,0.0422
message,0.0479,0.0199,0.0280
online,0.0479,0.0000,0.0479
american,0.0479,0.1421,-0.0941
ground,0.0473,0.0230,0.0242
along,0.0473,0.0435,0.0038
victim,0.0473,0.0037,0.0436
arena,0.0473,0.0010,0.0462
killing,0.0473,0.0031,0.0441
big,0.0473,0.0440,0.0033
college,0.0473,0.0368,0.0105
case,0.0466,0.0408,0.0058
full,0.0466,0.0483,-0.0017
next,0.0466,0.0714,-0.0249
look,0.0466,0.0536,-0.0071
began,0.0466,0.0381,0.0084
end,0.0466,0.0647,-0.0182
action,0.0466,0.0532,-0.0067
without,0.0466,0.0880,-0.0414
alleged,0.0466,0.0012,0.0454
september,0.0466,0.0110,0.0356
site,0.0459,0.0071,0.0388
office,0.0459,0.0360,0.0098
social,0.0459,0.0647,-0.0189
streets,0.0459,0.0101,0.0358
channel,0.0459,0.0021,0.0438
aysha,0.0459,0.0000,0.0459
serious,0.0459,0.0212,0.0247
far,0.0459,0.0642,-0.0183
best,0.0452,0.0600,-0.0148
twitter,0.0452,0.0001,0.0451
londoners,0.0452,0.0000,0.0452
human,0.0452,0.0519,-0.0067
10,0.0452,0.0305,0.0147
political,0.0452,0.0381,0.0071
hall,0.0452,0.0169,0.0283
counter-terrorism,0.0445,0.0000,0.0445
pavement,0.0445,0.0013,0.0433
large,0.0445,0.0493,-0.0048
law,0.0445,0.0521,-0.0076
air,0.0445,0.0356,0.0089
shows,0.0445,0.0114,0.0331
building,0.0445,0.0283,0.0162
4,0.0445,0.0334,0.0111
criminal,0.0445,0.0039,0.0406
walking,0.0445,0.0063,0.0382
actions,0.0445,0.0130,0.0315
solidarity,0.0438,0.0018,0.0420
society,0.0438,0.0364,0.0075
affected,0.0438,0.0051,0.0387
early,0.0438,0.0447,-0.0009
labour,0.0438,0.0005,0.0433
president,0.0438,0.0854,-0.0416
ajao,0.0438,0.0000,0.0438
rhodes,0.0438,0.0010,0.0428
point,0.0438,0.0503,-0.0065
april,0.0438,0.0094,0.0344
