word, event, baseline, diff
let,0.1684,0.2171,-0.0487
commons,0.1671,0.0623,0.1048
affected,0.1658,0.1180,0.0478
pc,0.1651,0.0000,0.1651
side,0.1651,0.1511,0.0140
allow,0.1644,0.2243,-0.0599
wednesday,0.1638,0.0046,0.1591
dead,0.1638,0.0898,0.0740
birmingham,0.1631,0.0019,0.1612
today,0.1631,0.0684,0.0947
video,0.1624,0.0314,0.1310
forces,0.1624,0.2605,-0.0981
day,0.1618,0.0928,0.0690
mps,0.1591,0.0000,0.1591
stabbing,0.1571,0.0220,0.1351
arena,0.1551,0.0864,0.0687
fight,0.1544,0.1285,0.0259
alleged,0.1537,0.0883,0.0655
tried,0.1537,0.1702,-0.0165
life,0.1531,0.1744,-0.0214
reported,0.1531,0.0737,0.0793
manchester,0.1511,0.0046,0.1464
heart,0.1504,0.1515,-0.0011
hospital,0.1497,0.0151,0.1346
many,0.1477,0.1548,-0.0071
investigation,0.1477,0.0084,0.1393
city,0.1470,0.0472,0.0998
inside,0.1470,0.0883,0.0588
events,0.1470,0.1386,0.0085
event,0.1470,0.1386,0.0085
speaking,0.1470,0.0758,0.0712
safe,0.1470,0.1597,-0.0127
large,0.1444,0.2341,-0.0897
emergency,0.1430,0.0100,0.1331
muslims,0.1417,0.0012,0.1405
reports,0.1410,0.1363,0.0047
right,0.1410,0.2684,-0.1273
report,0.1410,0.1363,0.0047
palace,0.1404,0.0049,0.1354
within,0.1390,0.0697,0.0693
press,0.1384,0.1238,0.0145
metropolitan,0.1377,0.0047,0.1330
pm,0.1370,0.0042,0.1328
values,0.1370,0.1396,-0.0026
thursday,0.1323,0.0040,0.1283
paid,0.1317,0.1492,-0.0176
remember,0.1277,0.0880,0.0396
serious,0.1270,0.1615,-0.0345
information,0.1257,0.0528,0.0729
data,0.1257,0.0520,0.0736
full,0.1250,0.2706,-0.1456
united,0.1230,0.1375,-0.0145
early,0.1223,0.0609,0.0614
really,0.1210,0.1090,0.0120
never,0.1203,0.0948,0.0255
pa,0.1203,0.0166,0.1038
according,0.1190,0.0365,0.0825
well,0.1183,0.2737,-0.1554
tribute,0.1176,0.0195,0.0981
