word, event, baseline, diff
share,0.2009,0.1381,0.0628
full,0.2009,0.2706,-0.0697
open,0.2009,0.2538,-0.0529
deaths,0.2003,0.2261,-0.0258
death,0.2003,0.2261,-0.0258
top,0.1962,0.1393,0.0569
along,0.1956,0.0427,0.1529
back,0.1950,0.2677,-0.0727
time,0.1927,0.2392,-0.0466
next,0.1927,0.1621,0.0306
need,0.1927,0.3225,-0.1298
search,0.1915,0.1235,0.0680
late,0.1909,0.1545,0.0364
manhattan,0.1903,0.0022,0.1882
record,0.1874,0.1207,0.0668
remain,0.1874,0.1046,0.0828
public,0.1862,0.2794,-0.0931
like,0.1857,0.2463,-0.0607
efforts,0.1851,0.1437,0.0414
coastal,0.1821,0.0008,0.1813
forecast,0.1816,0.0353,0.1463
many,0.1786,0.1548,0.0238
29,0.1786,0.0030,0.1757
air,0.1780,0.1172,0.0609
three,0.1769,0.1266,0.0503
3,0.1769,0.1266,0.0503
later,0.1751,0.1268,0.0483
cross,0.1751,0.0491,0.1261
transportation,0.1734,0.0273,0.1461
likely,0.1716,0.0597,0.1119
emergency,0.1693,0.0100,0.1593
disaster,0.1675,0.0160,0.1515
sunday,0.1675,0.0240,0.1435
long,0.1634,0.1153,0.0481
future,0.1616,0.1347,0.0269
united,0.1599,0.1375,0.0224
transit,0.1575,0.0215,0.1361
west,0.1546,0.0316,0.1230
sign,0.1540,0.1280,0.0261
administration,0.1505,0.2210,-0.0705
authority,0.1493,0.0949,0.0544
information,0.1482,0.0528,0.0954
pm,0.1470,0.0042,0.1428
across,0.1458,0.0397,0.1061
system,0.1447,0.1070,0.0377
systems,0.1447,0.1070,0.0377
man,0.1447,0.4293,-0.2847
rail,0.1447,0.0204,0.1243
research,0.1441,0.0448,0.0992
snow,0.1429,0.0253,0.1176
flood,0.1429,0.0074,0.1355
well,0.1417,0.2737,-0.1320
data,0.1417,0.0520,0.0897
used,0.1417,0.1813,-0.0396
site,0.1417,0.1050,0.0367
strong,0.1388,0.1424,-0.0035
right,0.1382,0.2684,-0.1301
worst,0.1382,0.0887,0.0496
tuesday,0.1359,0.0067,0.1292
possible,0.1353,0.0655,0.0698
subway,0.1330,0.0074,0.1255
global,0.1330,0.2202,-0.0873
category,0.1324,0.0811,0.0513
much,0.1318,0.1771,-0.0453
night,0.1318,0.0669,0.0649
eastern,0.1306,0.0057,0.1250
south,0.1294,0.0341,0.0953
severe,0.1294,0.0886,0.0409
around,0.1289,0.0892,0.0397
stock,0.1289,0.1489,-0.0201
according,0.1277,0.0365,0.0912
follow,0.1271,0.1456,-0.0186
mph,0.1236,0.0003,0.1233
northeast,0.1236,0.0030,0.1206
note,0.1218,0.1284,-0.0065
issued,0.1212,0.0862,0.0350
guard,0.1195,0.0595,0.0600
million,0.1189,0.1128,0.0061
millions,0.1189,0.1128,0.0061
carolina,0.1177,0.0032,0.1145
shore,0.1166,0.0435,0.0730
red,0.1160,0.0453,0.0707
4,0.1154,0.0833,0.0321
four,0.1154,0.0833,0.0321
5,0.1148,0.0753,0.0395
five,0.1148,0.0753,0.0395
response,0.1142,0.0534,0.0608
reserved,0.1136,0.0819,0.0317
use,0.1130,0.2057,-0.0927
hours,0.1130,0.0488,0.0643
housing,0.1125,0.0983,0.0141
6,0.1113,0.0487,0.0626
six,0.1113,0.0487,0.0626
virginia,0.1107,0.0093,0.1014
already,0.1089,0.0476,0.0613
history,0.1089,0.0886,0.0204
fire,0.1078,0.0777,0.0301
beach,0.1072,0.0064,0.1008
washington,0.1060,0.0460,0.0600
gmt,0.1054,0.0001,0.1053
major,0.1048,0.0448,0.0600
early,0.1043,0.0609,0.0434
supplies,0.1043,0.1154,-0.0112
bahamas,0.1031,0.0000,0.1031
florida,0.1031,0.0029,0.1002
front,0.1031,0.1561,-0.0531
local,0.1025,0.0491,0.0534
cuba,0.1007,0.0060,0.0948
dangerous,0.1007,0.0404,0.0603
policy,0.1002,0.0669,0.0333
businesses,0.1002,0.1657,-0.0656
insurance,0.1002,0.0672,0.0330
life,0.0996,0.1744,-0.0749
30,0.0990,0.0265,0.0724
models,0.0984,0.0828,0.0156
least,0.0966,0.0406,0.0560
august,0.0961,0.0139,0.0822
morning,0.0943,0.0294,0.0649
park,0.0943,0.0621,0.0322
provided,0.0943,0.1220,-0.0277
warnings,0.0925,0.0101,0.0825
president,0.0925,0.0997,-0.0071
several,0.0925,0.0706,0.0220
federal,0.0925,0.1483,-0.0558
warning,0.0925,0.0105,0.0820
powerful,0.0925,0.1141,-0.0215
due,0.0920,0.0168,0.0752
science,0.0920,0.0263,0.0656
relief,0.0914,0.0498,0.0416
caribbean,0.0908,0.0017,0.0890
roads,0.0908,0.0364,0.0544
retrieved,0.0902,0.1407,-0.0505
lost,0.0902,0.0819,0.0083
away,0.0896,0.0972,-0.0076
significant,0.0896,0.1025,-0.0129
week,0.0890,0.0329,0.0561
far,0.0884,0.0631,0.0254
twitter,0.0879,0.0003,0.0875
another,0.0867,0.0860,0.0007
day,0.0867,0.0928,-0.0061
little,0.0867,0.2004,-0.1137
inland,0.0849,0.0006,0.0843
river,0.0849,0.0189,0.0660
saturday,0.0849,0.0235,0.0615
year,0.0843,0.2070,-0.1226
occurred,0.0843,0.1279,-0.0435
addition,0.0832,0.0871,-0.0040
christie,0.0820,0.0003,0.0817
evacuation,0.0820,0.0041,0.0779
wednesday,0.0820,0.0046,0.0774
8,0.0820,0.0310,0.0510
evacuations,0.0820,0.0041,0.0779
28,0.0814,0.0042,0.0772
street,0.0802,0.0269,0.0533
risk,0.0802,0.0536,0.0266
warming,0.0802,0.0127,0.0676
recovery,0.0797,0.0106,0.0691
jamaica,0.0791,0.0003,0.0788
credit,0.0791,0.0400,0.0391
brooklyn,0.0785,0.0030,0.0755
impact,0.0785,0.0296,0.0489
p.m.,0.0779,0.0065,0.0714
email,0.0779,0.0000,0.0779
destroyed,0.0761,0.0177,0.0584
comment,0.0761,0.0208,0.0554
energy,0.0756,0.0441,0.0314
gas,0.0744,0.0381,0.0363
mayor,0.0738,0.0047,0.0691
staff,0.0738,0.0210,0.0528
today,0.0726,0.0684,0.0042
current,0.0726,0.0337,0.0389
7,0.0720,0.0301,0.0419
